Display,Row,Column,Plane,Timepoint,Time [s],Field,Object ID,X,Y,Tracked Organoids Selected Selected - Age [s],Tracked Organoids Selected Selected - Current Displacement X [px],Tracked Organoids Selected Selected - Current Displacement Y [px],Tracked Organoids Selected Selected - Track Point X,Tracked Organoids Selected Selected - Track Point Y,Tracked Organoids Selected Selected - Region Area [µm_],Tracked Organoids Selected Selected - Region Roundness,Tracked Organoids Selected Selected - Region Symmetry 02,Tracked Organoids Selected Selected - Region Symmetry 03,Tracked Organoids Selected Selected - Region Symmetry 04,Tracked Organoids Selected Selected - Region Symmetry 05,Tracked Organoids Selected Selected - Region Symmetry 12,Tracked Organoids Selected Selected - Region Symmetry 13,Tracked Organoids Selected Selected - Region Symmetry 14,Tracked Organoids Selected Selected - Region Symmetry 15,Tracked Organoids Selected Selected - Region Threshold Compactness 30%,Tracked Organoids Selected Selected - Region Threshold Compactness 40%,Tracked Organoids Selected Selected - Region Threshold Compactness 50%,Tracked Organoids Selected Selected - Region Threshold Compactness 60%,Tracked Organoids Selected Selected - Region Axial Small Length,Tracked Organoids Selected Selected - Region Axial Length Ratio,Tracked Organoids Selected Selected - Region Radial Mean,Tracked Organoids Selected Selected - Region Radial Relative Deviation,Tracked Organoids Selected Selected - Region Profile 1/2,Tracked Organoids Selected Selected - Region Profile 2/2,Tracked Organoids Selected Selected - Region Brightfield SER Spot 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Hole 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Edge 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Ridge 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Valley 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Saddle 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Bright 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Dark 1 px,Tracked Organoids Selected Selected - Class,Tracked Organoids Selected Selected - Regression A-B,Tracked Organoids Selected Selected - Live,Tracked Organoids Selected Selected - Dead,Tracked Organoids Selected Selected - Number of Nuclei (DRAQ7+)- per Object,Tracked Organoids Selected Selected - Intensity Nucleus Mean Smoothed Mean,Tracked Organoids Selected Selected - Dead (DRAQ7+),Tracked Organoids Selected Selected - Live (DRAQ7-),Compound,Concentration,Cell Type,Cell Count
TRUE,B,3,1,0,0,1,1,360,46,0,0,0,351,47,2282,0.8444,0.1357,0.2379,0.07836,0.06365,0.1843,0.3368,0.1129,0.09662,0.9632,0.9632,0.9632,0.9632,18.46,0.7939,19.42,0.4111,0.997,1.002,0.003197,0.002004,0.01731,0.004707,0.005793,0.005126,0.006888,0.006885,B,0.8176,0,1,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,2,708,40,0,0,0,707,43,1110,0.9441,0.07932,0.08876,0.03948,0.02383,0.1324,0.128,0.06827,0.03701,1.071,1.071,1.071,0.335,12.05,0.8297,12.43,0.3904,0.9476,1.054,0.004143,0.002059,0.02513,0.004243,0.006928,0.006593,0.007269,0.007842,A,-1.416,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,3,103,63,0,0,0,103,66,1175,0.966,0.01936,0.06141,0.02439,0.01823,0.02976,0.09202,0.03819,0.02955,1.092,1.092,1.092,0.3959,13.46,0.9595,12.87,0.3752,0.9898,1.01,0.00378,0.002694,0.02639,0.007393,0.00858,0.005936,0.009786,0.01001,A,-1.549,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,4,1182,82,0,0,0,1183,90,1401,0.7548,0.3243,0.1635,0.1784,0.1592,0.4695,0.2599,0.2767,0.2578,0.8788,0.8788,0.8788,0.2625,11.35,0.4994,16.23,0.4737,0.9861,1.017,0.003459,0.00204,0.02435,0.006174,0.008139,0.005793,0.008409,0.00909,A,-0.7246,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,5,999,96,0,0,0,997,117,1873,0.6965,0.535,0.07978,0.2572,0.127,0.7082,0.1156,0.4204,0.1939,0.8173,0.8173,0.5373,0.2392,10.35,0.3212,21.4,0.5004,1.005,0.9947,0.004189,0.002361,0.02949,0.006829,0.009564,0.00831,0.009658,0.01057,A,-0.637,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,6,251,103,0,0,0,252,117,1895,0.7723,0.4331,0.1536,0.1811,0.1436,0.5866,0.2187,0.2844,0.2307,0.8929,0.8929,0.3925,0.2994,11.93,0.4216,19.73,0.4591,1.002,0.9981,0.004219,0.002239,0.03106,0.006014,0.00952,0.008293,0.008918,0.01041,A,-0.9151,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,7,742,105,0,0,0,744,104,1445,0.9447,0.1451,0.05982,0.001708,0.0007644,0.2144,0.0862,0.008351,0.008414,1.068,1.068,1.068,0.3729,13.24,0.7517,14.54,0.3848,0.9941,1.005,0.003261,0.002442,0.02603,0.005978,0.007509,0.006181,0.008091,0.008775,A,-1.393,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,8,700,134,0,0,0,700,134,851.3,0.9889,0.04607,0.03972,0.003273,0.02048,0.06677,0.06204,0.003825,0.03503,1.12,1.12,1.12,0.4313,10.98,0.9157,10.72,0.3872,0.9486,1.061,0.00363,0.001632,0.02559,0.004899,0.006615,0.006734,0.00744,0.007254,A,-1.38,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,9,37,150,0,0,0,38,152,1228,0.9911,0.05358,0.03268,0.01272,0.01534,0.07791,0.04802,0.02066,0.02238,1.117,1.117,1.117,1.117,13.45,0.9024,13.35,0.3614,1.016,0.986,0.003104,0.002429,0.02248,0.005972,0.006804,0.005434,0.007974,0.008125,A,-0.08811,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,10,826,155,0,0,0,823,152,1230,0.86,0.2166,0.1396,0.1207,0.09689,0.3394,0.2223,0.2073,0.1702,0.9857,0.9857,0.9857,0.2753,11.26,0.6059,13.98,0.4564,0.9681,1.037,0.003406,0.002012,0.02552,0.005414,0.007741,0.006909,0.007754,0.008623,A,-0.8855,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,11,396,164,0,0,0,397,161,1651,0.6792,0.2859,0.1578,0.1285,0.1795,0.4121,0.2419,0.1872,0.2851,0.8013,0.8013,0.8013,0.8013,13.24,0.5651,17.32,0.4537,0.9905,1.011,0.003192,0.00234,0.0205,0.005409,0.006666,0.005786,0.007547,0.007931,B,0.6882,0,1,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,12,1066,167,0,0,0,1067,167,783.3,0.9902,0.0004123,0.008313,0.01834,0.004471,0.006169,0.01182,0.0309,0.008746,1.122,1.122,0.584,0.6599,10.98,0.9902,10.29,0.3878,0.9598,1.051,0.003997,0.002221,0.03148,0.006514,0.008718,0.008848,0.009202,0.009662,A,-1.474,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,13,1135,174,0,0,0,1141,172,2001,0.8358,0.2364,0.1789,0.06779,0.1367,0.3549,0.2754,0.1176,0.2337,0.9559,0.9559,0.3359,0.3707,14.66,0.6065,18.22,0.4522,1.001,0.9991,0.003085,0.002042,0.02499,0.004401,0.007431,0.006497,0.006553,0.008431,A,-0.3818,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,14,713,235,0,0,0,713,234,2274,0.9935,0.00629,0.02325,0.02954,0.008352,0.01596,0.03681,0.04655,0.01423,1.112,1.112,0.3278,0.6595,18.33,0.9746,17.24,0.4016,0.9285,1.042,0.003669,0.002041,0.028,0.00553,0.007531,0.005643,0.008029,0.008502,A,-2.535,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,15,163,232,0,0,0,163,233,1023,0.9802,0.03364,0.01355,0.01488,0.01595,0.04698,0.01899,0.02477,0.02472,1.108,1.108,1.108,1.108,12.56,0.9419,12.19,0.3574,1.019,0.9809,0.002617,0.002052,0.0184,0.004768,0.006388,0.005125,0.006446,0.007432,B,0.7149,0,1,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,16,388,311,0,0,0,390,313,1238,0.9123,0.178,0.08542,0.03276,0.04281,0.2488,0.1285,0.04526,0.06962,1.038,1.038,1.038,0.9357,12.2,0.7242,13.73,0.384,0.9983,1.002,0.003802,0.002402,0.02626,0.006696,0.008199,0.00661,0.009189,0.009486,A,-0.5912,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,17,752,318,0,0,0,754,333,2422,0.5928,0.4627,0.166,0.2309,0.1443,0.6268,0.221,0.3265,0.2268,0.7111,0.7111,0.7111,0.3449,14.16,0.3954,24.68,0.4672,0.9924,1.008,0.004453,0.00225,0.02707,0.006595,0.009602,0.007607,0.009625,0.01056,A,-0.4014,1,0,1,174.4,1,0,Media,,13154,
