Display,Row,Column,Plane,Timepoint,Time [s],Field,Object ID,X,Y,Region Area [µm²],Region Roundness,Region Ratio Width to Length,Region Symmetry 02,Region Symmetry 03,Region Symmetry 04,Region Symmetry 05,Region Symmetry 12,Region Symmetry 13,Region Symmetry 14,Region Symmetry 15,Region Threshold Compactness 30%,Region Threshold Compactness 40%,Region Threshold Compactness 50%,Region Threshold Compactness 60%,Region Axial Small Length,Region Axial Length Ratio,Region Radial Mean,Region Radial Relative Deviation,Region Profile 1/2,Region Profile 2/2,Region Brightfield SER Edge 1 px,Region Brightfield SER Ridge 1 px,Region Brightfield SER Valley 1 px,Region Brightfield SER Dark 1 px,Object No in Organoids,Object No in Organoids Selected,Object No in Organoids Selected Selected,Regression A-B,Compound,Cell Type,Day,LD,ExpID,UID,ML_status,Method,Class,dye_status,Dye
TRUE,F,7,1,168,0,1,1,1316,40,1623,0.9587,0.68489999999999995,0.15260000000000001,3.7199999999999997E-2,1.307E-2,5.9880000000000003E-3,0.2266,5.6180000000000001E-2,1.6410000000000001E-2,1.18E-2,1.081,1.081,1.081,0.4506,13.77,0.73880000000000001,15.28,0.3886,0.96560000000000001,1.026,2.1850000000000001E-2,4.633E-3,6.7080000000000004E-3,7.5500000000000003E-3,2,2,2,-1.1919999999999999,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.2.7,Live,ML,A,Live,DRAQ7
TRUE,F,7,1,168,0,1,2,1069,114,8274,0.5242,0.38080000000000003,0.34329999999999999,0.29389999999999999,0.13059999999999999,0.15640000000000001,0.44130000000000003,0.39539999999999997,0.15479999999999999,0.22,0.6341,0.6341,0.22839999999999999,0.21249999999999999,33.520000000000003,0.57050000000000001,43.48,0.45900000000000002,0.97089999999999999,1.0149999999999999,2.3560000000000001E-2,5.2639999999999996E-3,7.2459999999999998E-3,8.4379999999999993E-3,3,3,3,-0.84850000000000003,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.3.7,Live,ML,A,Live,DRAQ7
TRUE,F,7,1,168,0,1,3,823,67,1384,0.69540000000000002,0.39800000000000002,0.60740000000000005,9.0969999999999995E-2,0.16539999999999999,2.7140000000000001E-2,0.70450000000000002,9.8280000000000006E-2,0.25679999999999997,6.2469999999999998E-2,0.8196,0.8196,0.8196,0.2581,9.7919999999999998,0.36890000000000001,18.41,0.42599999999999999,0.9708,1.0429999999999999,1.9519999999999999E-2,4.3340000000000002E-3,6.2110000000000004E-3,7.0029999999999997E-3,4,4,4,-0.90490000000000004,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.4.7,Live,ML,A,Live,DRAQ7
TRUE,F,7,1,168,0,1,4,607,81,2545,0.79620000000000002,0.55059999999999998,0.19220000000000001,0.22009999999999999,0.1041,1.393E-2,0.2457,0.31009999999999999,0.16830000000000001,3.218E-2,0.91400000000000003,0.91400000000000003,0.91400000000000003,0.27279999999999999,19.04,0.74409999999999998,20.84,0.41389999999999999,1.002,0.99870000000000003,1.899E-2,4.7879999999999997E-3,5.9909999999999998E-3,7.1040000000000001E-3,5,5,5,-0.63790000000000002,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.5.7,Live,ML,A,Live,DRAQ7
TRUE,F,7,1,168,0,1,5,440,100,916.5,0.98409999999999997,0.78200000000000003,8.8249999999999995E-2,3.1719999999999998E-2,1.5630000000000002E-2,6.9049999999999997E-3,0.12720000000000001,4.6399999999999997E-2,1.95E-2,7.5079999999999999E-3,1.1140000000000001,1.1140000000000001,1.1140000000000001,1.1140000000000001,10.97,0.84709999999999996,11.22,0.37790000000000001,0.95050000000000001,1.0569999999999999,2.282E-2,3.7529999999999998E-3,4.9569999999999996E-3,5.7320000000000001E-3,9,9,6,-2.7839999999999998,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.9.7,Live,ML,A,Dead,DRAQ7
TRUE,F,7,1,168,0,1,6,1205,147,1080,1.0109999999999999,0.84109999999999996,5.6950000000000001E-2,3.2120000000000003E-2,3.1370000000000002E-2,2.0230000000000001E-2,7.7810000000000004E-2,5.9459999999999999E-2,3.7519999999999998E-2,2.63E-2,1.139,1.139,1.139,0.70899999999999996,12.57,0.90459999999999996,12.45,0.3629,0.99650000000000005,1.0029999999999999,2.307E-2,5.9119999999999997E-3,7.2009999999999999E-3,8.4349999999999998E-3,14,14,9,-1.163,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.14.7,Live,ML,A,Live,DRAQ7
TRUE,F,7,1,168,0,1,7,578,165,2826,0.88700000000000001,0.62380000000000002,0.15809999999999999,9.9049999999999999E-2,2.9170000000000001E-2,0.11749999999999999,0.23860000000000001,0.16339999999999999,3.3930000000000002E-2,0.18840000000000001,1.004,1.004,1.004,0.23380000000000001,18.46,0.72089999999999999,20.63,0.41420000000000001,0.97650000000000003,1.014,2.4719999999999999E-2,5.4619999999999998E-3,7.9360000000000003E-3,8.8640000000000004E-3,16,16,10,-1.2829999999999999,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.16.7,Live,ML,A,Live,DRAQ7
TRUE,F,7,1,168,0,1,8,274,174,1278,0.9204,0.52390000000000003,0.38769999999999999,5.7459999999999997E-2,6.019E-2,1.204E-2,0.50229999999999997,8.1030000000000005E-2,0.1056,3.0130000000000001E-2,1.046,1.046,1.046,0.60929999999999995,10.25,0.51039999999999996,14.75,0.40960000000000002,0.93730000000000002,1.0669999999999999,2.9000000000000001E-2,3.9569999999999996E-3,7.5690000000000002E-3,7.9380000000000006E-3,18,18,12,-2.262,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.18.7,Live,ML,A,Live,DRAQ7
TRUE,F,7,1,168,0,1,9,395,209,804,1.018,0.86319999999999997,3.261E-2,7.4819999999999999E-3,2.768E-2,9.0849999999999993E-3,5.8959999999999999E-2,8.4430000000000009E-3,3.5499999999999997E-2,1.2829999999999999E-2,1.1499999999999999,1.1499999999999999,1.1499999999999999,0.46579999999999999,10.67,0.92179999999999995,10.39,0.38450000000000001,0.94689999999999996,1.0649999999999999,2.5430000000000001E-2,5.012E-3,6.9849999999999999E-3,7.6829999999999997E-3,19,19,13,-3.76,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.19.7,Live,ML,A,Live,DRAQ7
TRUE,F,7,1,168,0,1,10,979,225,2373,0.94799999999999995,0.56479999999999997,0.24979999999999999,4.0099999999999997E-2,7.2340000000000002E-2,3.2349999999999997E-2,0.35589999999999999,5.2339999999999998E-2,0.1179,4.7699999999999999E-2,1.0669999999999999,1.0669999999999999,1.0409999999999999,0.2505,15.43,0.61429999999999996,19.43,0.3896,0.99780000000000002,1.0009999999999999,2.571E-2,6.1370000000000001E-3,7.9480000000000002E-3,9.2020000000000001E-3,21,21,15,-1.2010000000000001,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.21.7,Live,ML,A,Live,DRAQ7
TRUE,F,7,1,168,0,1,11,829,236,3614,0.79410000000000003,0.57920000000000005,0.20449999999999999,0.16669999999999999,9.9269999999999997E-2,0.1605,0.32390000000000002,0.2631,0.15310000000000001,0.2601,0.90910000000000002,0.90910000000000002,0.90910000000000002,0.2271,20.27,0.62739999999999996,24.67,0.44109999999999999,0.99370000000000003,1.004,2.3740000000000001E-2,5.3049999999999998E-3,7.7140000000000004E-3,8.711E-3,22,22,16,-0.97840000000000005,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.22.7,Live,ML,A,Live,DRAQ7
TRUE,F,7,1,168,0,1,12,248,257,1024,0.99160000000000004,0.88100000000000001,3.2980000000000002E-2,4.573E-2,7.0200000000000002E-3,4.6610000000000002E-3,4.8399999999999999E-2,6.7500000000000004E-2,1.6490000000000001E-2,4.6509999999999998E-3,1.1200000000000001,1.1200000000000001,1.1200000000000001,0.33579999999999999,12.29,0.93789999999999996,11.86,0.38329999999999997,0.96750000000000003,1.0329999999999999,2.8289999999999999E-2,6.8979999999999996E-3,1.0200000000000001E-2,1.103E-2,23,23,17,-1.6950000000000001,media,12620,7,Live,20171010_20171017_12620_GT,F.7.1.23.7,Live,ML,A,Live,DRAQ7
